Compound	InChI-Key
quinoxaline-2-carboxyl adenylate	InChIKey=VMJWEICPCDRXQL-SCFUHWHPSA-M
x-dglc-HEX-x:x	
monomethylarsino-diglutathione	InChIKey=PFYKVCFNANBHRF-CYDGBPFRSA-L
<i>S</i>-adenosyl 3-(methylsulfanyl)propylamine	InChIKey=ZUNBITIXDCPNSD-LSRJEVITSA-O
Fe<SUP>3+</SUP>	InChIKey=VTLYFUHAOXGGBS-UHFFFAOYSA-N
5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide	InChIKey=ABCOOORLYAOBOZ-KQYNXXCUSA-L
uridine 2'3'-cyclic monophosphate	InChIKey=HWDMHJDYMFRXOX-XVFCMESISA-M
4-coumarate	InChIKey=NGSWKAQJJWESNS-ZZXKWVIFSA-M
dGDP	InChIKey=CIKGWCTVFSRMJU-KVQBGUIXSA-K
5-amino-6-(D-ribitylamino)uracil	InChIKey=XKQZIXVJVUPORE-RPDRRWSUSA-N
(2E,5E)-dodeca-2,5-dienoyl-CoA	InChIKey=ZSJRXHRCABOSNC-UOVVPLBNSA-J
<i>S</i>-adenosyl-L-methionine	InChIKey=MEFKEPWMEQBLKI-FCKMPRQPSA-O
3-<i>all trans</i>-hexaprenyl-4-amino-5-hydroxybenzoate	InChIKey=RDJHHAKRFMKPKL-IRVXXIIISA-M
lathosterol	InChIKey=IZVFFXVYBHFIHY-SKCNUYALSA-N
<i>N</i>-(1-deoxy-D-fructos-1-yl)-L-asparagine	InChIKey=SPIROCFTONGMLA-WGDRPHDWSA-N
ferroheme <i>i</i>	InChIKey=DUDFUCVGSNDDBK-PRYGPKJJSA-J
butan-1-ol	InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N
thiamine phosphate	InChIKey=HZSAJDVWZRBGIF-UHFFFAOYSA-M
leukotriene A<sub>4</sub>	InChIKey=UFPQIRYSPUYQHK-XWYPZHSRSA-M
anthranilate	InChIKey=RWZYAGGXGHYGMB-UHFFFAOYSA-M
dehydroascorbate (bicyclic form)	InChIKey=QPPOKIPSRPKDEM-VPGXFDHMSA-N
NADPH	InChIKey=ACFIXJIJDZMPPO-NNYOXOHSSA-J
(L-asparaginyl)adenylate	InChIKey=BZHVCXQAFQWXPZ-VWJPMABRSA-N
dihydrofurano derivative	InChIKey=FUIDCBUVLDEBJL-UHFFFAOYSA-N
L-cystine	InChIKey=LEVWYRKDKASIDU-IMJSIDKUSA-N
2-amino-2-deoxy-D-gluconate	InChIKey=UFYKDFXCZBTLOO-TXICZTDVSA-N
&beta;-sitosterol 3-O-&beta;-D-glucoside	InChIKey=NPJICTMALKLTFW-OFUAXYCQSA-N
acetate	InChIKey=QTBSBXVTEAMEQO-UHFFFAOYSA-M
dityrosine	InChIKey=OQALFHMKVSJFRR-UHFFFAOYSA-L
3-deoxy-D-glycero-&alpha;-D-galacto-nonulosonate	InChIKey=CLRLHXKNIYJWAW-LSRLBZCKSA-M
3-chloro-1-phenyl-1-propanone	InChIKey=KTJRGPZVSKWRTJ-UHFFFAOYSA-N
b-dman-OCT-2:6|1:a|2:keto|3:d	
(3<i>R</i>)-3-hydroxy-arachidoyl-CoA	InChIKey=KNSVYMFEJLUJST-AFMYZWIISA-J
3-methyladenine	InChIKey=FSASIHFSFGAIJM-UHFFFAOYSA-N
(5E)-3-oxo-dodec-5-enoyl-CoA	InChIKey=VKLHSLOWDWGVGP-WOABMHMMSA-J
oleoyl-CoA	InChIKey=XDUHQPOXLUAVEE-BPMMELMSSA-J
arsenic triglutathione	InChIKey=UXNWJLSRLNSHSI-QQCJEOGWSA-K
ethyl caproate	InChIKey=SHZIWNPUGXLXDT-UHFFFAOYSA-N
3-oxopalmitoyl-CoA	InChIKey=NQMPLXPCRJOSHL-BBECNAHFSA-J
a-dgal-HEX-1:5|6:a	
4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol	InChIKey=MYWAIWDQTCHPTH-LJAIZBFVSA-M
superoxide	InChIKey=OUUQCZGPVNCOIJ-UHFFFAOYSA-M
b-xglc-HEX-1:5|6:a	
5-methyltetrahydropteroyl tri-L-glutamate	InChIKey=HVRNKDVLFAVCJF-VJANTYMQSA-J
pyrazine-2-carboxylate	InChIKey=NIPZZXUFJPQHNH-UHFFFAOYSA-M
a <i>holo</i> citrate-lyase	
histidinal	InChIKey=VYOIELONWKIZJS-YFKPBYRVSA-O
4-nitrobenzaldehyde	InChIKey=BXRFQSNOROATLV-UHFFFAOYSA-N
methylglyoxalbis(guanylhydrazone)	InChIKey=MXWHMTNPTTVWDM-UHFFFAOYSA-P
3-hydroxy-5-methylbenzaldehyde	InChIKey=BTLHCFVCIGAAPF-UHFFFAOYSA-N
2-aminoprop-2-enoate	InChIKey=UQBOJOOOTLPNST-UHFFFAOYSA-N
L-cysteate	InChIKey=XVOYSCVBGLVSOL-REOHCLBHSA-M
4-nitrophenyl-&beta;-D-glucopyranoside	InChIKey=IFBHRQDFSNCLOZ-RMPHRYRLSA-N
4&alpha;-hydroxymethyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol	InChIKey=ORZKEIGPXNMCHC-NUESBDPTSA-N
(2E,4Z)-undeca-2,4-dienoyl-CoA	InChIKey=SZKPLUULGGERFD-NFPSBOAPSA-J
a linoleate group	
bisoleoyl phosphatidate	InChIKey=MHUWZNTUIIFHAS-DSSVUWSHSA-L
(2Z,4Z)-2-chloro-3-hydroxyhexa-2,4-dienedioate	InChIKey=KHWHQPFTGLTZEN-NWJCXACMSA-L
dTDP group	
3'-phosphoadenylyl-sulfate	InChIKey=GACDQMDRPRGCTN-KQYNXXCUSA-J
ITP	InChIKey=HAEJPQIATWHALX-KQYNXXCUSA-J
<i>S</i>-(hydroxysulfenamide)glutathione	InChIKey=ZOIIDZWLSVVTGQ-WDSKDSINSA-M
3-dehydroshikimate	InChIKey=SLWWJZMPHJJOPH-PHDIDXHHSA-M
a-dgal-HEX-1:4	
L-methionine-(<i>S</i>)-<i>S</i>-oxide	InChIKey=QEFRNWWLZKMPFJ-MFXDVPHUSA-N
aureobasidin A	InChIKey=RLMLFADXHJLPSQ-MJQYLNDYSA-N
a [1-Cys peroxiredoxin]-(<i>S</i>-hydroxy-<i>S</i>-oxocysteine)	
dehydroascorbate	InChIKey=OESHPIGALOBJLM-UHFFFAOYSA-N
adenine	InChIKey=GFFGJBXGBJISGV-UHFFFAOYSA-N
a-lara-PEN-1:4	
ribose 1,3-cyclic phosphate	InChIKey=ONTWKCPWRKFYOT-SOOFDHNKSA-M
b-lara-PEN-1:4	
3-hydroxy-<i>cis,cis</i>-muconate	InChIKey=DLKZGMNZEDNHKO-BXTBVDPRSA-L
glycerophosphoglycerol	InChIKey=LLCSXHMJULHSJN-UHFFFAOYSA-M
thiamine	InChIKey=JZRWCGZRTZMZEH-UHFFFAOYSA-N
4-methyl-5-(2-phosphooxyethyl)thiazole	InChIKey=OCYMERZCMYJQQO-UHFFFAOYSA-L
L-cysteinylglycine	InChIKey=ZUKPVRWZDMRIEO-VKHMYHEASA-N
1-(5'-phospho-&beta;-D-ribofuranosyl)barbiturate	InChIKey=AODYJUNLDJOADV-YHSFNTFWSA-L
2-amino-3-carboxymuconate-6-semialdehyde	InChIKey=KACPVQQHDVBVFC-PMRVSPHWSA-M
2-deoxy-D-glucono-1,5-lactone	InChIKey=DBXNZGWNBVNDSO-KODRXGBYSA-N
3-oxocerotoyl-CoA	InChIKey=VOMUIFOBQMYJPJ-CPIGOPAHSA-J
<I>myo</I>-inositol	InChIKey=CDAISMWEOUEBRE-GPIVLXJGSA-N
2-oxoglutarate	InChIKey=KPGXRSRHYNQIFN-UHFFFAOYSA-L
laurate	InChIKey=POULHZVOKOAJMA-UHFFFAOYSA-M
2-hydroxy-dATP	InChIKey=UOACBPRDWRDEHJ-KVQBGUIXSA-J
GLYCO-CT-PYR	
<i>N</i>-(2,3-dihydroxybenzoyl)-L-serine trimer	InChIKey=NTWRWGRCGVKQNS-BZSNNMDCSA-M
5,5'-dithio-bis-2-nitrobenzoate	InChIKey=KIUMMUBSPKGMOY-UHFFFAOYSA-L
3-oxooctadecanoyl-CoA	InChIKey=LGOGWHDPDVAUNY-LFZQUHGESA-J
D-gluconate 6-phosphate	InChIKey=BIRSGZKFKXLSJQ-SQOUGZDYSA-K
norfuraneol	InChIKey=DLVYTANECMRFGX-UHFFFAOYSA-N
1D-<i>myo</i>-inositol 3-monophosphate	InChIKey=INAPMGSXUVUWAF-PTQMNWPWSA-L
1-palmitoylglycerone 3-phosphate	InChIKey=MLWXSIMRTQAWHY-UHFFFAOYSA-L
<I>p</I>-cumic aldehyde	InChIKey=WTWBUQJHJGUZCY-UHFFFAOYSA-N
pyridoxine	InChIKey=LXNHXLLTXMVWPM-UHFFFAOYSA-N
4-isopropylbenzyl alcohol	InChIKey=OIGWAXDAPKFNCQ-UHFFFAOYSA-N
[non-ribosomal peptide synthase] group	
2-iminobutanoate	InChIKey=WRBRCYPPGUCRHW-UHFFFAOYSA-N
<i>N</i><sup>7</sup>-methylguanosine 5'-diphosphate	InChIKey=SBASPRRECYVBRF-KQYNXXCUSA-L
1-chloro-2,4-dinitrobenzene	InChIKey=VYZAHLCBVHPDDF-UHFFFAOYSA-N
(<i>S</i>)-lactaldehyde	InChIKey=BSABBBMNWQWLLU-VKHMYHEASA-N
4&alpha;-methyl ergosta-8,14,25(27)-trienol	InChIKey=XMACHBCVXCCTCF-BKFTWGLRSA-N
3-deoxy-D-glycero-&beta;-D-galacto-nonulosonate	InChIKey=CLRLHXKNIYJWAW-YOQZMRDMSA-M
(4-hydroxyphenyl)acetaldehyde	InChIKey=IPRPPFIAVHPVJH-UHFFFAOYSA-N
isobutanal	InChIKey=AMIMRNSIRUDHCM-UHFFFAOYSA-N
&alpha;-D-quinovopyranose	InChIKey=SHZGCJCMOBCMKK-DVKNGEFBSA-N
UDP-&alpha;-D-galactose	InChIKey=HSCJRCZFDFQWRP-ABVWGUQPSA-L
two adjacent 2'-deoxycytidines in DNA	
&beta;-D-idopyranuronate	InChIKey=AEMOLEFTQBMNLQ-LVBGKUAWSA-M
episterol	InChIKey=BTCAEOLDEYPGGE-JVAZTMFWSA-N
sphinganine	InChIKey=OTKJDMGTUTTYMP-ZWKOTPCHSA-O
<i>N</i>-(1-phenylpropan-2-yl)hydroxylamine	InChIKey=LPZRPPBVFGJUOJ-UHFFFAOYSA-N
<i>trans</i>-docos-2-enoyl-CoA	InChIKey=KRTIFNFQCJTGMV-DYAVHEMFSA-J
ferrichrome	InChIKey=GGUNGDGGXMHBMJ-OCIDDWSYSA-N
adenosine 5'-phosphosulfate	InChIKey=IRLPACMLTUPBCL-KQYNXXCUSA-L
guanosine	InChIKey=NYHBQMYGNKIUIF-UUOKFMHZSA-N
&alpha;-D-arabinofuranose	InChIKey=HMFHBZSHGGEWLO-MBMOQRBOSA-N
b-dman-HEX-1:5|6:a	
dolichol-group	
5-phospho-&beta;-D-ribosylamine	InChIKey=SKCBPEVYGOQGJN-TXICZTDVSA-M
NAD<sup>+</sup>	InChIKey=BAWFJGJZGIEFAR-NNYOXOHSSA-M
9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA	InChIKey=AHZCZESKRQDJSS-CQBJTUNBSA-J
&beta;-D-galactofuranose	InChIKey=AVVWPBAENSWJCB-DGPNFKTASA-N
&beta;-L-ribulofuranose	InChIKey=LQXVFWRQNMEDEE-YUPRTTJUSA-N
arachidonoyl-CoA	InChIKey=JDEPVTUUCBFJIW-YQVDHACTSA-J
<i>sn</i>-glycero-3-phosphocholine	InChIKey=SUHOQUVVVLNYQR-MRVPVSSYSA-N
a-HEP-1:5	
a-dman-HEX-1:5|6:d	
D-<i>myo</i>-inositol 1,3,4,5,6-pentakisphosphate	InChIKey=CTPQAXVNYGZUAJ-KXXVROSKSA-D
cacodylate	InChIKey=OGGXGZAMXPVRFZ-UHFFFAOYSA-M
lanosteryl oleate	InChIKey=DKYFEOWQCCNWLB-GYZZQDEESA-N
2,5-diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one	InChIKey=ACIVVGBVOVHFPQ-RPDRRWSUSA-L
benzyl benzoate	InChIKey=SESFRYSPDFLNCH-UHFFFAOYSA-N
leukotriene B<sub>4</sub>	InChIKey=VNYSSYRCGWBHLG-AMOLWHMGSA-M
2-oxovalerate	InChIKey=KDVFRMMRZOCFLS-UHFFFAOYSA-M
<i>N</i>-(1-deoxy-D-fructos-1-yl)-L-leucine	InChIKey=BUGJJLOUCDBMAS-AYHFEMFVSA-N
trifluoromethionine	InChIKey=YLJLTSVBCXYTQK-VKHMYHEASA-N
3-methylbutanal	InChIKey=YGHRJJRRZDOVPD-UHFFFAOYSA-N
&beta;-L-galactopyranose	InChIKey=WQZGKKKJIJFFOK-KGJVWPDLSA-N
&beta;-D-galactopyranose	InChIKey=WQZGKKKJIJFFOK-FPRJBGLDSA-N
dTTP	InChIKey=NHVNXKFIZYSCEB-XLPZGREQSA-J
1D-<i>myo</i>-inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate	InChIKey=UPHPWXPNZIOZJL-UOTPTPDRSA-A
dUDP	InChIKey=QHWZTVCCBMIIKE-SHYZEUOFSA-K
4,4-dimethyl-5-&alpha;-cholesta-8,14-dien-3-&beta;-ol	InChIKey=OGQJUYXFIOFTMA-PBJLWWPKSA-N
(<i>S</i>)-malate	InChIKey=BJEPYKJPYRNKOW-REOHCLBHSA-L
cefoperazone	InChIKey=GCFBRXLSHGKWDP-XCGNWRKASA-N
L-glyceraldehyde	InChIKey=MNQZXJOMYWMBOU-GSVOUGTGSA-N
methionol	InChIKey=CZUGFKJYCPYHHV-UHFFFAOYSA-N
2,3-pentane-dione	InChIKey=TZMFJUDUGYTVRY-UHFFFAOYSA-N
&alpha;-L-arabinofuranose	InChIKey=HMFHBZSHGGEWLO-QMKXCQHVSA-N
ferrichrome A	InChIKey=YDEOVNTWYZIDCR-LDEMJYSLSA-K
Hg<SUP>2+</SUP>	InChIKey=BQPIGGFYSBELGY-UHFFFAOYSA-N
(9Z,15Z)-12,13-epoxy-octadeca-9,15-dienoate	InChIKey=BKKGUKSHPCTUGE-OOHFSOINSA-M
phytosphingosine (C18) 1-phosphate	InChIKey=AYGOSKULTISFCW-KSZLIROESA-M
diacetyl	InChIKey=QSJXEFYPDANLFS-UHFFFAOYSA-N
4-nitrophenol	InChIKey=BTJIUGUIPKRLHP-UHFFFAOYSA-M
L-cystathionine	InChIKey=ILRYLPWNYFXEMH-WHFBIAKZSA-N
(5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA	InChIKey=JWZLRYCDDXHXDL-LCMHIRPZSA-J
(<i>Z</i>)-methyl(oxido)(1-phenylpropan-2-ylidene)azanium	InChIKey=SHDIBBHPJOKRNX-LUAWRHEFSA-N
sphingosine	InChIKey=WWUZIQQURGPMPG-KRWOKUGFSA-O
1-stearoyl-2-palmitoyl-<i>sn</i>-glycerol	InChIKey=VYQDALBEQRZDPL-DHUJRADRSA-N
N,N-dimethylaniline	InChIKey=JLTDJTHDQAWBAV-UHFFFAOYSA-N
coproporphyrinogen III	InChIKey=NIUVHXTXUXOFEB-UHFFFAOYSA-J
prephenate	InChIKey=FPWMCUPFBRFMLH-XGAOUMNUSA-L
&omega;-saturated C55 dolichol phosphate	InChIKey=KTGSDHZXAKCYHM-LSTWDCEHSA-L
&alpha;,&alpha;-trehalose 6-phosphate	InChIKey=LABSPYBHMPDTEL-LIZSDCNHSA-L
&beta;-L-idopyranuronate	InChIKey=AEMOLEFTQBMNLQ-URDJKYRMSA-M
1-[18-hydroxyoeoyl]-2-[18-hydroxy-lioleoyl]-<i>sn</i>-glycerol 3-phosphate	InChIKey=ZXBGEIHFXPHRJY-NKFDZXFUSA-L
2-hydroxyisobutyramide	InChIKey=DRYMMXUBDRJPDS-UHFFFAOYSA-N
glutathione	InChIKey=RWSXRVCMGQZWBV-WDSKDSINSA-M
(<i>S</i>)-dihydroorotate	InChIKey=UFIVEPVSAGBUSI-REOHCLBHSA-M
prenol	InChIKey=ASUAYTHWZCLXAN-UHFFFAOYSA-N
(3E)-dec-3-enoyl-CoA	InChIKey=CQGVNMQHZQJNII-ZJZQAHHTSA-J
oxalate	InChIKey=MUBZPKHOEPUJKR-UHFFFAOYSA-L
sucrose	InChIKey=CZMRCDWAGMRECN-UGDNZRGBSA-N
x-dman-HEX-x:x	
L-ornithine	InChIKey=AHLPHDHHMVZTML-BYPYZUCNSA-O
4-tyrosol	InChIKey=YCCILVSKPBXVIP-UHFFFAOYSA-N
8-oxo-GMP	InChIKey=MDSQIQSLWQTQDK-UMMCILCDSA-L
a-dman-OCT-2:6|1:a|2:keto|3:d	
<i>O</i>-succinyl-L-homoserine	InChIKey=GNISQJGXJIDKDJ-YFKPBYRVSA-M
a coenzyme-A group	
XMP	InChIKey=DCTLYFZHFGENCW-UUOKFMHZSA-L
UDP group	
2'-deoxyuridine	InChIKey=MXHRCPNRJAMMIM-SHYZEUOFSA-N
(2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone	InChIKey=CWXWDRXNERDGHE-HWKANZROSA-N
flavone	InChIKey=VHBFFQKBGNRLFZ-UHFFFAOYSA-N
adjacent 2'-deoxycytidine-thymidine in DNA	
4-hydroxybenzaldehyde	InChIKey=RGHHSNMVTDWUBI-UHFFFAOYSA-N
3-chlorobenzaldehyde	InChIKey=SRWILAKSARHZPR-UHFFFAOYSA-N
stearate	InChIKey=QIQXTHQIDYTFRH-UHFFFAOYSA-M
(<i>R</i>)-pantothenate	InChIKey=GHOKWGTUZJEAQD-ZETCQYMHSA-M
fluoride	InChIKey=KRHYYFGTRYWZRS-UHFFFAOYSA-M
L-phenylalanine	InChIKey=COLNVLDHVKWLRT-QMMMGPOBSA-N
L-cysteine	InChIKey=XUJNEKJLAYXESH-REOHCLBHSA-N
(3Z)-dodec-3-enoyl-CoA	InChIKey=XEMIVMKTVGRFTD-REDSNERGSA-J
phosphate	InChIKey=NBIIXXVUZAFLBC-UHFFFAOYSA-L
(2S,3R)-3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate	InChIKey=YFUPBIBIDVFELV-NTSWFWBYSA-M
&alpha;-L-fucopyranose	InChIKey=SHZGCJCMOBCMKK-SXUWKVJYSA-N
&beta;-D-xylopyranose	InChIKey=SRBFZHDQGSBBOR-KKQCNMDGSA-N
uracil	InChIKey=ISAKRJDGNUQOIC-UHFFFAOYSA-N
4&alpha;-methylfecosterol	InChIKey=QLDNWJOJCDIMKK-XLFBYWHPSA-N
x-lgal-HEX-1:5|6:d	
thiamine diphosphate	InChIKey=AYEKOFBPNLCAJY-UHFFFAOYSA-L
glyoxal	InChIKey=LEQAOMBKQFMDFZ-UHFFFAOYSA-N
isobutanol	InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N
roseoflavin 5'-phosphate	InChIKey=KBASEDIREZTYND-GUTXKFCHSA-K
formylaminopyrimidine	InChIKey=PVWNFAGYFUUDRC-UHFFFAOYSA-N
a methyl group	
(<i>R</i>)-5-phosphomevalonate	InChIKey=OKZYCXHTTZZYSK-ZCFIWIBFSA-K
(R)-acetoin	InChIKey=ROWKJAVDOGWPAT-GSVOUGTGSA-N
<i>N</i>-acetyl-L-ornithine	InChIKey=JRLGPAXAGHMNOL-LURJTMIESA-N
10-<i>cis</i>-heptadecenoyl-CoA	InChIKey=KFMWWNZRDBMYES-YGUIASHKSA-J
&alpha;-D-glucopyranose	InChIKey=WQZGKKKJIJFFOK-DVKNGEFBSA-N
1-deoxynojirimycin	InChIKey=LXBIFEVIBLOUGU-JGWLITMVSA-O
5-aminolevulinate	InChIKey=ZGXJTSGNIOSYLO-UHFFFAOYSA-N
(2<i>R</i>,3<i>S</i>)-2-methylisocitrate	InChIKey=HHKPKXCSHMJWCF-WVBDSBKLSA-K
4-nitrophenyl phosphate	InChIKey=XZKIHKMTEMTJQX-UHFFFAOYSA-L
2'-hydroxypyridoxol	InChIKey=FLVIETJQVDUKMQ-UHFFFAOYSA-N
&beta;-D-galacturonate	InChIKey=AEMOLEFTQBMNLQ-DTEWXJGMSA-M
<i>S</i>-sulfo-L-cysteine	InChIKey=NOKPBJYHPHHWAN-REOHCLBHSA-M
D-sedoheptulose 1-phosphate	InChIKey=JPTRNFAYXMBCLJ-SHUUEZRQSA-L
(3<i>R</i>)-3-hydroxylignoceroyl-CoA	InChIKey=QIBKBVRVOFIKLN-YSOWJFSKSA-J
<i>S</i>-methyl-5-thio-D-ribulose 1-phosphate	InChIKey=CNSJRYUMVMWNMC-RITPCOANSA-L
<i>di-trans,octa-cis</i>-undecaprenyl diphosphate	InChIKey=NTXGVHCCXVHYCL-NTDVEAECSA-K
1,2-dipalmitoyl-<i>sn</i>-glycerol	InChIKey=JEJLGIQLPYYGEE-XIFFEERXSA-N
CDP	InChIKey=ZWIADYZPOWUWEW-XVFCMESISA-K
2-oxohexanoate	InChIKey=XNIHZNNZJHYHLC-UHFFFAOYSA-M
porphobilinogen	InChIKey=QSHWIQZFGQKFMA-UHFFFAOYSA-M
L-iditol	InChIKey=FBPFZTCFMRRESA-UNTFVMJOSA-N
geranylgeranyl diphosphate	InChIKey=OINNEUNVOZHBOX-QIRCYJPOSA-K
1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	InChIKey=QKMBYNRMPRKVTO-MNOVXSKESA-K
(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate	InChIKey=NQEQTYPJSIEPHW-MNOVXSKESA-L
&beta;-D-mannopyranose	InChIKey=WQZGKKKJIJFFOK-RWOPYEJCSA-N
pyridoxamine 5'-phosphate	InChIKey=ZMJGSOSNSPKHNH-UHFFFAOYSA-M
zymosterol	InChIKey=CGSJXLIKVBJVRY-XTGBIJOFSA-N
14-demethyllanosterol	InChIKey=CHGIKSSZNBCNDW-QGBOJXOESA-N
3-sulfino-L-alanine	InChIKey=ADVPTQAUNPRNPO-REOHCLBHSA-M
5-oxo-L-proline	InChIKey=ODHCTXKNWHHXJC-VKHMYHEASA-M
7,8-dihydroneopterin 3'-phosphate	InChIKey=PLSQMGZYOGSOCE-XINAWCOVSA-L
arsenite<sup>2-</sup>	InChIKey=RJFGWSIMCQVVJS-UHFFFAOYSA-N
2-oxobutanoate	InChIKey=TYEYBOSBBBHJIV-UHFFFAOYSA-M
(2<i>R</i>)-homocitrate	InChIKey=XKJVEVRQMLKSMO-SSDOTTSWSA-K
4-hydroxy-3-octaprenylbenzoate	InChIKey=UTIBHEBNILDQKX-LQOKPSQISA-M
<i>N</i>-acetyl-L-glutamate	InChIKey=RFMMMVDNIPUKGG-YFKPBYRVSA-L
(1<i>R</i>,2<i>S</i>)-homoisocitrate	InChIKey=OEJZZCGRGVFWHK-WVZVXSGGSA-K
chorismate	InChIKey=WTFXTQVDAKGDEY-HTQZYQBOSA-L
b-dman-HEX-1:5	
a <i>holo</i> malonate-decarboxylase	
(5Z)-tetradecenoyl-CoA	InChIKey=MRVDZOHJMLTLHJ-STFCKWFXSA-J
L-ascorbate	InChIKey=CIWBSHSKHKDKBQ-JLAZNSOCSA-M
roseoflavin adenine dinucleotide	InChIKey=MHLHGXADKUHZGN-MZWSMYJRSA-K
GLYCO-CT-SULFATE	
D-<i>myo</i>-inositol (1,3,4,5)-tetrakisphosphate	InChIKey=CIPFCGZLFXVXBG-CNWJWELYSA-F
(2E)-2-butylidene-4-hydroxy-5-methyl-3(2H)-furanone	InChIKey=JJPKPKGALPXILL-FNORWQNLSA-N
FAD	InChIKey=IMGVNJNCCGXBHD-UYBVJOGSSA-K
4-methylbenzaldehyde	InChIKey=FXLOVSHXALFLKQ-UHFFFAOYSA-N
(2<i>S</i>)-2-isopropylmalate	InChIKey=BITYXLXUCSKTJS-ZETCQYMHSA-L
(3R)-hydroxynonanoyl-CoA	InChIKey=PDYUUZANEPCZPL-JOQFVOQGSA-J
<i>N</i>-carbamoyl-L-aspartate	InChIKey=HLKXYZVTANABHZ-REOHCLBHSA-L
(9Z,12Z)-15,16-epoxyoctadeca-9,12-dienoate	InChIKey=HKSDVVJONLXYKL-OHPMOLHNSA-M
x-dgal-HEX-1:5|6:a	
1-butanal	InChIKey=ZTQSAGDEMFDKMZ-UHFFFAOYSA-N
4-<i>trans</i>-3-oxo-undecenoyl-CoA	InChIKey=XBFQFVLNMJDDNG-DUPKWVSKSA-J
2-hydroxy-5-(methylsulfanyl)-3-oxopent-1-enyl 1-phosphate	InChIKey=YIEMFVNCENFBSD-XQRVVYSFSA-K
tributyrin	InChIKey=UYXTWWCETRIEDR-UHFFFAOYSA-N
taurine	InChIKey=XOAAWQZATWQOTB-UHFFFAOYSA-N
3-ethylmalate	InChIKey=JUCRENBZZQKFGK-UHFFFAOYSA-L
D-<i>myo</i>-inositol (1,3,4)-trisphosphate	InChIKey=MMWCIQZXVOZEGG-MLQGYMEPSA-H
L-tyrosine	InChIKey=OUYCCCASQSFEME-QMMMGPOBSA-N
(3<i>R</i>)-3-hydroxybehenoyl-CoA	InChIKey=VNJQSRVXTRJVAZ-ZUIQSSPPSA-J
8-oxo-dGTP	InChIKey=BUZOGVVQWCXXDP-VPENINKCSA-J
phenylhydrazine	InChIKey=HKOOXMFOFWEVGF-UHFFFAOYSA-N
1-oleoyl-2-lyso-glycerone phosphate	InChIKey=YZKFNNQAEBNCEN-KTKRTIGZSA-L
7,8-dihydrofolate monoglutamate	InChIKey=OZRNSSUDZOLUSN-LBPRGKRZSA-L
1-palmitoyl-<i>sn</i>-glycerol 3-phosphate	InChIKey=YNDYKPRNFWPPFU-GOSISDBHSA-L
styrene	InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N
L-penicillamine	InChIKey=VVNCNSJFMMFHPL-GSVOUGTGSA-N
pentadecanoate	InChIKey=WQEPLUUGTLDZJY-UHFFFAOYSA-M
boric acid	InChIKey=KGBXLFKZBHKPEV-UHFFFAOYSA-N
&beta;-nicotinamide D-ribonucleotide	InChIKey=DAYLJWODMCOQEW-TURQNECASA-M
6,7-dimethyl-8-(1-D-ribityl)lumazine	InChIKey=SXDXRJZUAJBNFL-XKSSXDPKSA-M
butanoyl-CoA	InChIKey=CRFNGMNYKDXRTN-CITAKDKDSA-J
amphomycin	InChIKey=XBNDESPXQUOOBQ-WYMLVPIESA-K
6-<i>cis</i>-tridecenoyl-CoA	InChIKey=UUIVZEBYPBPKLL-DXAZUOFZSA-J
semicarbazide	InChIKey=DUIOPKIIICUYRZ-UHFFFAOYSA-N
a carbonyl group	
(L-alanyl)adenylate	InChIKey=ISYFCRWDMNBLTM-MACXSXHHSA-N
phosphocholine	InChIKey=YHHSONZFOIEMCP-UHFFFAOYSA-M
1D-<i>myo</i>-inositol 1-monophosphate	InChIKey=INAPMGSXUVUWAF-UOTPTPDRSA-L
C<sub>20</sub> phytosphingosine	InChIKey=UQAUXYMLKGFKBX-ZCNNSNEGSA-O
1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one	InChIKey=CILXJJLQPTUUSS-XQRVVYSFSA-M
tetrahydroobvatol	InChIKey=OGJJXRXSJDUVGA-UHFFFAOYSA-N
x-dglc-HEX-1:5|6:a	
<i>N</i>-formyl-L-kynurenine	InChIKey=BYHJHXPTQMMKCA-QMMMGPOBSA-N
4&alpha;-methyl-5&alpha;-cholest-7-en-3-one	InChIKey=OWKGVPXWOHLTSL-LIUJFMQASA-N
&alpha;-D-ribofuranose	InChIKey=HMFHBZSHGGEWLO-AIHAYLRMSA-N
4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine	InChIKey=AGQJQCFEPUVXNK-UHFFFAOYSA-K
